全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
122033,,市川市,法華経寺四足門,ホケキョウジシソクモン,,,国指定重要文化財,建造物,,122033,,千葉県市川市中山2丁目10-1法華経寺,千葉県,市川市,中山2丁目,10-1,法華経寺,35.72046767,139.9479746,,,,,,,,,,,,法華経寺,5989,,,,,,,,,,,,S30.6.22単独指定
122033,,市川市,法華経寺祖師堂　附棟札,ホケキョウジソシドウツケタリムナフダ,,,国指定重要文化財,建造物,,122033,,千葉県市川市中山2丁目10-1法華経寺,千葉県,市川市,中山2丁目,10-1,法華経寺,35.72017586,139.9481865,,,,,,,,,,,,法華経寺,31185,,,,,,,,,,,,
122033,,市川市,絹本著色十六羅漢像,ケンポンチャクショクジュウロクラカンゾウ,,,国指定重要文化財,美術工芸品・絵画,,122033,,千葉県市川市中山2丁目10-1法華経寺,千葉県,市川市,中山2丁目,10-1,法華経寺,35.72077678,139.9494008,,,,,,,,,,,,法華経寺,1510,,,,,,,,,,,,
122033,,市川市,絹本著色日蓮聖人像,ケンポンチャクショクニチレンショウニンゾウ,,,国指定重要文化財,美術工芸品・絵画,,122033,,千葉県市川市中山3丁目10-4浄光院,千葉県,市川市,中山3丁目,10-4,浄光院,35.71995808,139.9493345,,,,,,,,,,,,浄光院,19194,,,,,,,,,,,,
122033,,市川市,日蓮自筆遺文　附蒔絵聖教箱,ニチレンジヒツイブンツケタリマキエショウギョウバコ,,,国指定重要文化財,美術工芸品・書跡,,122033,,千葉県市川市中山2丁目10-1法華経寺内,千葉県,市川市,中山2丁目,10-1,法華経寺内,35.72084103,139.9493378,,,,,,,,,,,,法華経寺,24638,,,,,,,,,,,,附についてはH5.1.20指定
122033,,市川市,堀之内貝塚,ホリノウチカイヅカ,,,国指定史跡,（貝塚）,,122033,,千葉県市川市堀之内2丁目15ほか,千葉県,市川市,堀之内2丁目,15,ほか,35.75927986,139.9106647,,,,,,,,,,,,市川市ほか,23564,,,,,,,,,,,,S42.6.22追加指定
122033,,市川市,姥山貝塚,ウバヤマカイヅカ,,,国指定史跡,（貝塚）,,122033,,千葉県市川市柏井町1丁目1223ほか,千葉県,市川市,柏井町1丁目,1223,ほか,35.73761225,139.9652968,,,,,,,,,,,,市川市,24701,,,,,,,,,,,,
122033,,市川市,下総国分寺跡　附北下瓦窯跡,シモフサコクブンジアトツケタリキタシタカワラガマアト,,,国指定史跡,（遺跡）,,122033,,千葉県市川市国分3丁目20-1ほか,千葉県,市川市,国分3丁目,20-1,ほか,35.74393881,139.9166686,,,,,,,,,,,,市川市ほか,24833,,,,,,,,,,,,H14.9.20追加指定、附についてはH22.8.5指定
122033,,市川市,下総国分尼寺跡,シモウサコクブンニジアト,,,国指定史跡,（遺跡）,,122033,,千葉県市川市国分4丁目17-1ほか,千葉県,市川市,国分4丁目,17-1,ほか,35.74643794,139.9132139,,,,,,,,,,,,市川市ほか,24833,,,,,,,,,,,,H1.3.29追加指定
122033,,市川市,曽谷貝塚,ソヤカイヅカ,,,国指定史跡,（貝塚）,,122033,,千葉県市川市曽谷2丁目15,千葉県,市川市,曽谷2丁目,15,,35.74682886,139.9354526,,,,,,,,,,,,市川市ほか,29211,,,,,,,,,,,,H21.7.23、H28.3.1追加指定
122033,,市川市,千本公孫樹,センボンイチョウ,,,国指定天然記念物,（植物）,,122033,,千葉県市川市八幡4丁目2-1葛飾八幡宮,千葉県,市川市,八幡4丁目,2-1,葛飾八幡宮,35.72412253,139.9312166,,,,,,,,,,,,葛飾八幡宮,11374,,,,,,,,,,,,
122033,,市川市,梵鐘,ボンショウ,,,県指定有形文化財,美術工芸品・工芸品,,122033,,千葉県市川市八幡4丁目2-1葛飾八幡宮,千葉県,市川市,八幡4丁目,2-1,葛飾八幡宮,35.72417694,139.931104,,,,,,,,,,,,葛飾八幡宮,21664,,,,,,,,,,,,
122033,,市川市,木造釈迦如来・多宝如来坐像　附像内納入品,モクゾウシャカニョライ・タホウニョライザゾウツケタリゾウナイノウニュウヒン,,,県指定有形文化財,美術工芸品・彫刻,,122033,,千葉県市川市中山2丁目10-1法華経寺内,千葉県,市川市,中山2丁目,10-1,法華経寺内,35.72092161,139.9493016,,,,,,,,,,,,法華経寺,35874,,,,,,,,,,,,
122033,,市川市,絹本著色十羅刹女像,ケンポンチャクショクジュウラセツニョゾウ,,,県指定有形文化財,美術工芸品・絵画,,122033,,千葉県市川市中山3丁目10-4浄光院,千葉県,市川市,中山3丁目,10-4,浄光院,35.71981611,139.9494746,,,,,,,,,,,,浄光院,36581,,,,,,,,,,,,
122033,,市川市,柴田是真画連句額,シバタゼシンガレンクガク,,,県指定有形文化財,美術工芸品・絵画,,122033,,千葉県市川市菅野1丁目15-2白幡天神社,千葉県,市川市,菅野1丁目,15-2,白幡天神社,35.72873336,139.9266048,,,,,,,,,,,,白幡天神社,38790,,,,,,,,,,,,
122033,,市川市,茶道　式正織部流,サドウ　シキセイオリベリュウ,,,県指定重要無形文化財,,,122033,,千葉県市川市国府台3丁目8-2,千葉県,市川市,国府台3丁目,8-2,,35.74711575,139.9014551,,,,,,,,,,,,織部桔梗会,20438,,,,,,,,,,,,
122033,,市川市,須和田遺跡,スワダイセキ,,,県指定史跡,（遺跡）,,122033,,千葉県市川市須和田2丁目34須和田公園,千葉県,市川市,須和田2丁目,34,須和田公園,35.73897678,139.9124762,,,,,,,,,,,,市川市,34387,,,,,,,,,,,,
122033,,市川市,鬼高遺跡出土品,オニタカイセキシュツドヒン,,,県指定有形文化財,美術工芸品・考古資料,,122033,,千葉県市川市堀之内2丁目26-1考古博物館所蔵,千葉県,市川市,堀之内2丁目,26-1,考古博物館所蔵,35.75905389,139.9120709,,,,,,,,,,,,市川市,44628,,,,,,,,,,,,
122033,,市川市,刀（無銘　伝兼永）,カタナムメイデンカネナガ,,,国指定重要文化財,美術工芸品・工芸品,,122033,,千葉県市川市,千葉県,市川市,,,,,,,,,,,,,,,,,個人蔵,20122,,,,,,,,,,,,
122033,,市川市,西洋館倶楽部（渡辺家住宅）,セイヨウカンクラブワタナベケジュウタク,,,国登録有形文化財,建造物,,122033,,千葉県市川市新田5丁目6-21,千葉県,市川市,新田5丁目,6-21,,35.72999754,139.9118578,,,,,,,,,,,,,36349,,,,,,,,,,,,
122033,,市川市,日本福音ルーテル市川教会会堂,二ホンフクインルーテルイチカワキョウカイカイドウ,,,国登録有形文化財,建造物,,122033,,千葉県市川市市川4丁目1-5,千葉県,市川市,市川4丁目,1-5,,35.73829432,139.9058304,,,,,,,,,,,,日本福音ルーテル教会,39744,,,,,,,,,,,,
122033,,市川市,加藤家住宅　主屋,カトウケジュウタクシュオク,,,国登録有形文化財,建造物,,122033,,千葉県市川市本行徳6-1,千葉県,市川市,本行徳,6-1,,35.69115753,139.9161432,,,,,,,,,,,,,40296,,,,,,,,,,,,
122033,,市川市,加藤家住宅　煉瓦塀,カトウケジュウタクレンガベイ,,,国登録有形文化財,建造物,,122033,,千葉県市川市本行徳6-1,千葉県,市川市,本行徳,6-1,,35.69112845,139.9160294,,,,,,,,,,,,,40296,,,,,,,,,,,,
122033,,市川市,旧浅子神輿店　店舗兼主屋,キュウアサコミコシテンテンポケンシュオク,,,国登録有形文化財,建造物,,122033,,千葉県市川市本行徳37-2,千葉県,市川市,本行徳,37-2,,35.69044878,139.9154592,,,,,,,,,,,,市川市,40431,,,,,,,,,,,,
122033,,市川市,昭和学院創立記念館,ショウワガクインソウリツキネンカン,,,国登録有形文化財,建造物,,122033,,千葉県市川市東菅野2丁目1-9,千葉県,市川市,東菅野2丁目,1-9,,35.73463253,139.9311373,,,,,,,,,,,,学校法人昭和学院,40569,,,,,,,,,,,,
122033,,市川市,中村家住宅主屋,ナカムラケジュウタクシュオク,,,国登録有形文化財,建造物,,122033,,千葉県市川市鬼越2丁目200-1他,千葉県,市川市,鬼越2丁目,200-1他,,35.71688825,139.940857,,,,,,,,,,,,,41919,,,,,,,,,,,,
122033,,市川市,中村家住宅離れ,ナカムラケジュウタクハナレ,,,国登録有形文化財,建造物,,122033,,千葉県市川市鬼越2丁目200-2,千葉県,市川市,鬼越2丁目,200-2,,35.71680928,139.9408146,,,,,,,,,,,,,41919,,,,,,,,,,,,
122033,,市川市,中村家住宅煉瓦蔵,ナカムラケジュウタクレンガグラ,,,国登録有形文化財,建造物,,122033,,千葉県市川市鬼越2丁目200-1,千葉県,市川市,鬼越2丁目,200-1,,35.71701835,139.9407684,,,,,,,,,,,,,41919,,,,,,,,,,,,
122033,,市川市,中村家住宅土蔵,ナカムラケジュウタクドゾウ,,,国登録有形文化財,建造物,,122033,,千葉県市川市鬼越2丁目200-2,千葉県,市川市,鬼越2丁目,200-2,,35.71681,139.9409296,,,,,,,,,,,,,41919,,,,,,,,,,,,
122033,,市川市,中村家住宅北蔵及び事務所,ナカムラケジュウタクキタグラオヨビジムショ,,,国登録有形文化財,建造物,,122033,,千葉県市川市鬼越2丁目200-1,千葉県,市川市,鬼越2丁目,200-1,,35.71693418,139.9410317,,,,,,,,,,,,,41919,,,,,,,,,,,,
122033,,市川市,中村家住宅倉庫,ナカムラケジュウタクソウコ,,,国登録有形文化財,建造物,,122033,,千葉県市川市鬼越2丁目200-2,千葉県,市川市,鬼越2丁目,200-2,,35.71651877,139.9408152,,,,,,,,,,,,,41919,,,,,,,,,,,,
122033,,市川市,中村家住宅稲荷社,ナカムラケジュウタクイナリシャ,,,国登録有形文化財,建造物,,122033,,千葉県市川市鬼越2丁目200-3,千葉県,市川市,鬼越2丁目,200-3,,35.71665891,139.940552,,,,,,,,,,,,,41919,,,,,,,,,,,,
122033,,市川市,中村家住宅防空壕,ナカムラケジュウタクボウクウゴウ,,,国登録有形文化財,建造物,,122033,,千葉県市川市鬼越2丁目200-3,千葉県,市川市,鬼越2丁目,200-3,,35.7167494,139.9405945,,,,,,,,,,,,,41919,,,,,,,,,,,,
122033,,市川市,中村家住宅門及び石塀,ナカムラケジュウタクモンオヨビイシベイ,,,国登録有形文化財,建造物,,122033,,千葉県市川市鬼越2丁目200-1,千葉県,市川市,鬼越2丁目,200-1,,35.71698444,139.9409581,,,,,,,,,,,,,41919,,,,,,,,,,,,
122033,,市川市,後藤家住宅主屋,ゴトウケジュウタクシュオク,,,国登録有形文化財,建造物,,122033,,千葉県市川市新田1丁目296,千葉県,市川市,新田1丁目,296,,35.72650575,139.9167351,,,,,,,,,,,,,42914,,,,,,,,,,,,
122033,,市川市,後藤家住宅稲荷社,ゴトウケジュウタクイナリシャ,,,国登録有形文化財,建造物,,122033,,千葉県市川市新田1丁目296-1,千葉県,市川市,新田1丁目,296-1,,35.72675207,139.916951,,,,,,,,,,,,,42914,,,,,,,,,,,,
122033,,市川市,式場隆三郎家住宅,シキバリュウザブロウケジュウタク,,,国登録有形文化財,建造物,,122033,,千葉県市川市国府台6丁目2412,千葉県,市川市,国府台6丁目,2412,,35.75572714,139.9030435,,,,,,,,,,,,,44483,,,,,,,,,,,,
